name,node_id,physical_node_id,x_coord,y_coord,route_type,route_id,node_type,directed_route_id,directed_service_id,zone_id,agency_name,geometry,terminal_flag,ctrl_type,agent_type
5695909,100150,100150,-79.942687,37.285828,3,4783,stop,,,,Valley Metro Roanoke,POINT (-79.942687 37.285828),0,,
5695910,100151,100151,-79.941355,37.283458,3,4787,stop,,,,Valley Metro Roanoke,POINT (-79.941355 37.283458),0,,
5695911,100152,100152,-79.94295,37.28586,3,4787,stop,,,,Valley Metro Roanoke,POINT (-79.94295 37.28586),0,,
5695912,100153,100153,-79.882507,37.275868,3,4832,stop,,,,Valley Metro Roanoke,POINT (-79.882507 37.275868),0,,
5695913,100154,100154,-79.883624,37.273682,3,4832,stop,,,,Valley Metro Roanoke,POINT (-79.883624 37.273682),0,,
5695915,100155,100155,-79.949546,37.271219,3,4809,stop,,,,Valley Metro Roanoke,POINT (-79.949546 37.271219),0,,
5695916,100156,100156,-79.933142,37.272485,3,4793,stop,,,,Valley Metro Roanoke,POINT (-79.933142 37.272485),0,,
5695917,100157,100157,-79.930784,37.273,3,4793,stop,,,,Valley Metro Roanoke,POINT (-79.930784 37.273),0,,
5695918,100158,100158,-79.934552,37.272132,3,4793,stop,,,,Valley Metro Roanoke,POINT (-79.934552 37.272132),0,,
5695919,100159,100159,-79.936446,37.271822,3,4780,stop,,,,Valley Metro Roanoke,POINT (-79.936446 37.271822),0,,
5695920,100160,100160,-79.9504,37.27124,3,4808,stop,,,,Valley Metro Roanoke,POINT (-79.9504 37.27124),0,,
5695921,100161,100161,-79.933203,37.272556,3,4780,stop,,,,Valley Metro Roanoke,POINT (-79.933203 37.272556),0,,
5695922,100162,100162,-79.930602,37.273159,3,4780,stop,,,,Valley Metro Roanoke,POINT (-79.930602 37.273159),0,,
5695923,100163,100163,-79.92729,37.274546,3,4780,stop,,,,Valley Metro Roanoke,POINT (-79.92729 37.274546),0,,
5695925,100164,100164,-79.992698,37.259318,3,4806,stop,,,,Valley Metro Roanoke,POINT (-79.992698 37.259318),0,,
5695926,100165,100165,-79.993314,37.25388,3,4806,stop,,,,Valley Metro Roanoke,POINT (-79.993314 37.25388),0,,
5695927,100166,100166,-79.993013,37.256526,3,4806,stop,,,,Valley Metro Roanoke,POINT (-79.993013 37.256526),0,,
5695928,100167,100167,-79.949065,37.275419,3,4811,stop,,,,Valley Metro Roanoke,POINT (-79.949065 37.275419),0,,
5695929,100168,100168,-79.951676,37.276216,3,4811,stop,,,,Valley Metro Roanoke,POINT (-79.951676 37.276216),0,,
5695930,100169,100169,-79.981566,37.268436,3,4808,stop,,,,Valley Metro Roanoke,POINT (-79.981566 37.268436),0,,
5695931,100170,100170,-79.981305,37.269536,3,4808,stop,,,,Valley Metro Roanoke,POINT (-79.981305 37.269536),0,,
5695932,100171,100171,-79.981531,37.268879,3,4809,stop,,,,Valley Metro Roanoke,POINT (-79.981531 37.268879),0,,
5695933,100172,100172,-79.982061,37.266666,3,4809,stop,,,,Valley Metro Roanoke,POINT (-79.982061 37.266666),0,,
5695935,100173,100173,-79.88765,37.270151,3,4833,stop,,,,Valley Metro Roanoke,POINT (-79.88765 37.270151),1,,
5695936,100174,100174,-80.054341,37.29244,3,4818,stop,,,,Valley Metro Roanoke,POINT (-80.054341 37.29244),0,,
5695937,100175,100175,-80.052899,37.286657,3,4817,stop,,,,Valley Metro Roanoke,POINT (-80.052899 37.286657),0,,
5695938,100176,100176,-80.054466,37.292353,3,4817,stop,,,,Valley Metro Roanoke,POINT (-80.054466 37.292353),0,,
5695939,100177,100177,-79.960053,37.252277,3,4838,stop,,,,Valley Metro Roanoke,POINT (-79.960053 37.252277),0,,
5695940,100178,100178,-79.953637,37.256085,3,4838,stop,,,,Valley Metro Roanoke,POINT (-79.953637 37.256085),0,,
5695941,100179,100179,-79.962802,37.250782,3,4838,stop,,,,Valley Metro Roanoke,POINT (-79.962802 37.250782),0,,
5695942,100180,100180,-79.966837,37.248584,3,4838,stop,,,,Valley Metro Roanoke,POINT (-79.966837 37.248584),0,,
5695943,100181,100181,-79.971412,37.246855,3,4838,stop,,,,Valley Metro Roanoke,POINT (-79.971412 37.246855),0,,
5695944,100182,100182,-79.969255,37.247817,3,4838,stop,,,,Valley Metro Roanoke,POINT (-79.969255 37.247817),0,,
5695945,100183,100183,-79.97994,37.24195,3,4838,stop,,,,Valley Metro Roanoke,POINT (-79.97994 37.24195),0,,
5695946,100184,100184,-79.974871,37.245319,3,4838,stop,,,,Valley Metro Roanoke,POINT (-79.974871 37.245319),0,,
5695947,100185,100185,-79.98692,37.238958,3,4838,stop,,,,Valley Metro Roanoke,POINT (-79.98692 37.238958),0,,
5695948,100186,100186,-79.960143,37.252377,3,4837,stop,,,,Valley Metro Roanoke,POINT (-79.960143 37.252377),0,,
5695949,100187,100187,-79.96287,37.250859,3,4837,stop,,,,Valley Metro Roanoke,POINT (-79.96287 37.250859),0,,
5695950,100188,100188,-79.96695,37.248686,3,4837,stop,,,,Valley Metro Roanoke,POINT (-79.96695 37.248686),0,,
5695951,100189,100189,-79.96945,37.247936,3,4837,stop,,,,Valley Metro Roanoke,POINT (-79.96945 37.247936),0,,
