link_id,from_node_id,to_node_id,allowed_uses,directed,directed_route_id,link_type,link_type_name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,VDF_allowed_uses1,agency_name,stop_sequence,directed_service_id
1000045,1500041,1500037,bus,1,3913.1,1,service_links,7615.467261714161,1,999999,45.68823474681029,0,10.0,999999,0.15,4,0,"LINESTRING (-80.055211 37.316316, -79.96927 37.320702)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,3,3913.1:0;1;2;3;4;5
1000046,1500037,1500060,bus,1,3913.1,1,service_links,5717.786846105925,1,999999,22.869622742907506,0,15.0,999999,0.15,4,0,"LINESTRING (-79.96927 37.320702, -79.946962 37.27244)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,4,3913.1:0;1;2;3;4;5
1000047,1500066,1500051,bus,1,3913.1,1,service_links,1224.4896115648035,1,999999,24.48163168740027,0,3.0,999999,0.15,4,0,"LINESTRING (-80.424586 37.232026, -80.411981 37.227494)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,0,3913.1:0;1;2;3;4;5;6
1000048,1500051,1500049,bus,1,3913.1,1,service_links,2624.3219468433545,1,999999,31.485566248870477,0,5.0,999999,0.15,4,0,"LINESTRING (-80.411981 37.227494, -80.412533 37.203897)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,1,3913.1:0;1;2;3;4;5;6
1000049,1500049,1500054,bus,1,3913.1,1,service_links,4694.40962368582,1,999999,23.470092277405985,0,12.0,999999,0.15,4,0,"LINESTRING (-80.412533 37.203897, -80.42121 37.162249)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,2,3913.1:0;1;2;3;4;5;6
1000050,1500054,1500047,bus,1,3913.1,1,service_links,5440.821161773921,1,999999,65.27679858157073,0,5.0,999999,0.15,4,0,"LINESTRING (-80.42121 37.162249, -80.371633 37.133394)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,3,3913.1:0;1;2;3;4;5;6
1000051,1500047,1500042,bus,1,3913.1,1,service_links,34621.17351931316,1,999999,83.08749294663372,0,25.0,999999,0.15,4,0,"LINESTRING (-80.371633 37.133394, -80.055211 37.316316)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,4,3913.1:0;1;2;3;4;5;6
1000052,1500042,1500061,bus,1,3913.1,1,service_links,10746.865055035772,1,999999,21.493013676282335,0,30.0,999999,0.15,4,0,"LINESTRING (-80.055211 37.316316, -79.946962 37.27244)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,5,3913.1:0;1;2;3;4;5;6
1000053,1500067,1500052,bus,1,3913.1,1,service_links,1224.4896115648035,35,999999,24.48163168740027,0,3.0,34999965,0.15,4,0,"LINESTRING (-80.424586 37.232026, -80.411981 37.227494)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,0,3913.1:0;1;2;3;4;5;6;7
1000054,1500052,1500050,bus,1,3913.1,1,service_links,2624.3219468433545,35,999999,31.485566248870477,0,5.0,34999965,0.15,4,0,"LINESTRING (-80.411981 37.227494, -80.412533 37.203897)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,1,3913.1:0;1;2;3;4;5;6;7
1000055,1500050,1500055,bus,1,3913.1,1,service_links,4694.40962368582,35,999999,40.23204933883005,0,7.0,34999965,0.15,4,0,"LINESTRING (-80.412533 37.203897, -80.42121 37.162249)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,2,3913.1:0;1;2;3;4;5;6;7
1000056,1500055,1500048,bus,1,3913.1,1,service_links,5440.821161773921,35,999999,32.64166280436309,0,10.0,34999965,0.15,4,0,"LINESTRING (-80.42121 37.162249, -80.371633 37.133394)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,3,3913.1:0;1;2;3;4;5;6;7
1000057,1500048,1500043,bus,1,3913.1,1,service_links,34621.17351931316,35,999999,69.24003903732508,0,30.0,34999965,0.15,4,0,"LINESTRING (-80.371633 37.133394, -80.055211 37.316316)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,4,3913.1:0;1;2;3;4;5;6;7
1000058,1500043,1500038,bus,1,3913.1,1,service_links,7615.467261714161,35,999999,45.68823474681029,0,10.0,34999965,0.15,4,0,"LINESTRING (-80.055211 37.316316, -79.96927 37.320702)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,5,3913.1:0;1;2;3;4;5;6;7
1000059,1500038,1500062,bus,1,3913.1,1,service_links,5717.786846105925,35,999999,15.59325534140973,0,22.0,34999965,0.15,4,0,"LINESTRING (-79.96927 37.320702, -79.946962 37.27244)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,6,3913.1:0;1;2;3;4;5;6;7
1000060,1500086,1500087,bus,1,3913.2,1,service_links,583.164572914004,5,999999,6.996575559856077,0,5.0,4999995,0.15,4,0,"LINESTRING (-79.940434 37.273161, -79.946962 37.27244)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,0,3913.2:0;1;2;3;4
1000061,1500087,1500071,bus,1,3913.2,1,service_links,10746.865055035772,5,999999,42.98459458050439,0,15.0,4999995,0.15,4,0,"LINESTRING (-79.946962 37.27244, -80.055211 37.316316)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,1,3913.2:0;1;2;3;4
1000062,1500071,1500075,bus,1,3913.2,1,service_links,34621.17351931316,5,999999,69.24003903732508,0,30.0,4999995,0.15,4,0,"LINESTRING (-80.055211 37.316316, -80.371633 37.133394)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,2,3913.2:0;1;2;3;4
1000063,1500075,1500091,bus,1,3913.2,1,service_links,11928.538314627145,5,999999,28.6273468612307,0,25.0,4999995,0.15,4,0,"LINESTRING (-80.371633 37.133394, -80.424586 37.232026)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,3,3913.2:0;1;2;3;4
1000064,1500088,1500068,bus,1,3913.2,1,service_links,5717.786846105925,1,999999,22.869622742907506,0,15.0,999999,0.15,4,0,"LINESTRING (-79.946962 37.27244, -79.96927 37.320702)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,0,3913.2:0;1;2;3;4;5
1000065,1500068,1500072,bus,1,3913.2,1,service_links,7615.467261714161,1,999999,45.68823474681029,0,10.0,999999,0.15,4,0,"LINESTRING (-79.96927 37.320702, -80.055211 37.316316)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,1,3913.2:0;1;2;3;4;5
1000066,1500072,1500076,bus,1,3913.2,1,service_links,34621.17351931316,1,999999,69.24003903732508,0,30.0,999999,0.15,4,0,"LINESTRING (-80.055211 37.316316, -80.371633 37.133394)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,2,3913.2:0;1;2;3;4;5
1000067,1500076,1500081,bus,1,3913.2,1,service_links,5440.821161773921,1,999999,65.27679858157073,0,5.0,999999,0.15,4,0,"LINESTRING (-80.371633 37.133394, -80.42121 37.162249)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,3,3913.2:0;1;2;3;4;5
1000068,1500081,1500092,bus,1,3913.2,1,service_links,7764.608408094995,1,999999,15.52869919288356,0,30.0,999999,0.15,4,0,"LINESTRING (-80.42121 37.162249, -80.424586 37.232026)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,4,3913.2:0;1;2;3;4;5
1000069,1500089,1500084,bus,1,3913.2,1,service_links,648.305156643701,4,999999,19.43943498182012,0,2.0,3999996,0.15,4,0,"LINESTRING (-79.946962 37.27244, -79.940613 37.27535)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,0,3913.2:0;1;2;3;4;5;6
1000070,1500084,1500073,bus,1,3913.2,1,service_links,11113.4961941133,4,999999,37.04292937319027,0,18.0,3999996,0.15,4,0,"LINESTRING (-79.940613 37.27535, -80.055211 37.316316)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,1,3913.2:0;1;2;3;4;5;6
1000071,1500073,1500077,bus,1,3913.2,1,service_links,34621.17351931316,4,999999,83.08749294663372,0,25.0,3999996,0.15,4,0,"LINESTRING (-80.055211 37.316316, -80.371633 37.133394)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,2,3913.2:0;1;2;3;4;5;6
1000072,1500077,1500082,bus,1,3913.2,1,service_links,5440.821161773921,4,999999,65.27679858157073,0,5.0,3999996,0.15,4,0,"LINESTRING (-80.371633 37.133394, -80.42121 37.162249)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,3,3913.2:0;1;2;3;4;5;6
1000073,1500082,1500079,bus,1,3913.2,1,service_links,4694.40962368582,4,999999,35.20367171867882,0,8.0,3999996,0.15,4,0,"LINESTRING (-80.42121 37.162249, -80.412533 37.203897)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,4,3913.2:0;1;2;3;4;5;6
1000074,1500079,1500093,bus,1,3913.2,1,service_links,3304.8804759136056,4,999999,28.323500722013474,0,7.0,3999996,0.15,4,0,"LINESTRING (-80.412533 37.203897, -80.424586 37.232026)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,5,3913.2:0;1;2;3;4;5;6
1000075,1500090,1500085,bus,1,3913.2,1,service_links,648.305156643701,33,999999,19.43943498182012,0,2.0,32999967,0.15,4,0,"LINESTRING (-79.946962 37.27244, -79.940613 37.27535)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,0,3913.2:0;1;2;3;4;5;6;7
1000076,1500085,1500070,bus,1,3913.2,1,service_links,5644.151308498649,33,999999,26.047925429576107,0,13.0,32999967,0.15,4,0,"LINESTRING (-79.940613 37.27535, -79.96927 37.320702)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,1,3913.2:0;1;2;3;4;5;6;7
1000077,1500070,1500074,bus,1,3913.2,1,service_links,7615.467261714161,33,999999,45.68823474681029,0,10.0,32999967,0.15,4,0,"LINESTRING (-79.96927 37.320702, -80.055211 37.316316)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,2,3913.2:0;1;2;3;4;5;6;7
1000078,1500074,1500078,bus,1,3913.2,1,service_links,34621.17351931316,33,999999,69.24003903732508,0,30.0,32999967,0.15,4,0,"LINESTRING (-80.055211 37.316316, -80.371633 37.133394)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,3,3913.2:0;1;2;3;4;5;6;7
1000079,1500078,1500083,bus,1,3913.2,1,service_links,5440.821161773921,33,999999,65.27679858157073,0,5.0,32999967,0.15,4,0,"LINESTRING (-80.371633 37.133394, -80.42121 37.162249)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,4,3913.2:0;1;2;3;4;5;6;7
1000080,1500083,1500080,bus,1,3913.2,1,service_links,4694.40962368582,33,999999,23.470092277405985,0,12.0,32999967,0.15,4,0,"LINESTRING (-80.42121 37.162249, -80.412533 37.203897)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,5,3913.2:0;1;2;3;4;5;6;7
1000081,1500080,1500094,bus,1,3913.2,1,service_links,3304.8804759136056,33,999999,24.78350563114815,0,8.0,32999967,0.15,4,0,"LINESTRING (-80.412533 37.203897, -80.424586 37.232026)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,6,3913.2:0;1;2;3;4;5;6;7
