id,name,from_node_id,to_node_id,length,lanes,dir_flag,free_speed,capacity,link_type,link_type_name,geometry,allowed_uses,from_biway,is_link
1500046,bus_access_link,1500046,250,6.470748278735863,1,0,2.72727,0,-1,,"LINESTRING (-80.37173300000001 37.133294, -80.2786 37.19036)",t,-1,True
1500047,bus_access_link,1500047,250,6.470748278735863,1,0,2.72727,0,-1,,"LINESTRING (-80.37173300000001 37.133294, -80.2786 37.19036)",t,-1,True
1500048,bus_access_link,1500048,250,6.470748278735863,1,0,2.72727,0,-1,,"LINESTRING (-80.37173300000001 37.133294, -80.2786 37.19036)",t,-1,True
1500049,bus_access_link,1500049,250,7.437307135622187,1,0,2.72727,0,-1,,"LINESTRING (-80.412633 37.20379699999999, -80.2786 37.19036)",t,-1,True
1500050,bus_access_link,1500050,250,7.437307135622187,1,0,2.72727,0,-1,,"LINESTRING (-80.412633 37.20379699999999, -80.2786 37.19036)",t,-1,True
1500051,bus_access_link,1500051,250,7.7806283451465585,1,0,2.72727,0,-1,,"LINESTRING (-80.412081 37.227394, -80.2786 37.19036)",t,-1,True
1500052,bus_access_link,1500052,250,7.7806283451465585,1,0,2.72727,0,-1,,"LINESTRING (-80.412081 37.227394, -80.2786 37.19036)",t,-1,True
1500053,bus_access_link,1500053,250,8.097229522552622,1,0,2.72727,0,-1,,"LINESTRING (-80.42131000000001 37.162149, -80.2786 37.19036)",t,-1,True
1500054,bus_access_link,1500054,250,8.097229522552622,1,0,2.72727,0,-1,,"LINESTRING (-80.42131000000001 37.162149, -80.2786 37.19036)",t,-1,True
1500055,bus_access_link,1500055,250,8.097229522552622,1,0,2.72727,0,-1,,"LINESTRING (-80.42131000000001 37.162149, -80.2786 37.19036)",t,-1,True
1500056,bus_access_link,1500056,3748,0.036043000591924404,1,0,2.72727,0,-1,,"LINESTRING (-79.940534 37.273061, -79.94047 37.27358)",t,-1,True
1500057,bus_access_link,1500057,3748,0.036043000591924404,1,0,2.72727,0,-1,,"LINESTRING (-79.940534 37.273061, -79.94047 37.27358)",t,-1,True
1500058,bus_access_link,1500058,89,0.04439792193863292,1,0,2.72727,0,-1,,"LINESTRING (-79.947062 37.27234, -79.94654 37.27283)",t,-1,True
1500059,bus_access_link,1500059,89,0.04439792193863292,1,0,2.72727,0,-1,,"LINESTRING (-79.947062 37.27234, -79.94654 37.27283)",t,-1,True
