link_id,from_node_id,to_node_id,facility_type,directed,directed_route_id,link_type,facility_type,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,allowed_uses,agency_name,stop_sequence,directed_service_id,link_type_name,from_biway,is_link
100028,1500013,1500015,bus,1,3894.2,1,service_links,0.30090084545905493,1,0,6.017983475939566,0.0,0 days 00:03:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.943068 37.251808, -79.943233 37.256161)",t,Valley Metro Roanoke,10.0,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,,,
100029,1500015,1500027,bus,1,3894.2,1,service_links,0.3184869856888801,1,0,4.777284879979535,0.0,0 days 00:04:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.943233 37.256161, -79.941436 37.260543)",t,Valley Metro Roanoke,11.0,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,,,
100030,1500027,1500017,bus,1,3894.2,1,service_links,0.362790787263883,1,0,21.767084451092128,0.0,0 days 00:01:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.941436 37.260543, -79.940977 37.265781)",t,Valley Metro Roanoke,12.0,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,,,
100031,1500017,1500019,bus,1,3894.2,1,service_links,0.17899294352196773,1,0,10.739397621357709,0.0,0 days 00:01:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.940977 37.265781, -79.940632 37.268357)",t,Valley Metro Roanoke,13.0,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,,,
100032,1500019,1500021,bus,1,3894.2,1,service_links,0.1107773470524029,1,0,6.64653004764338,0.0,0 days 00:01:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.940632 37.268357, -79.940551 37.269959)",t,Valley Metro Roanoke,14.0,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,,,
100033,1500021,1500023,bus,1,3894.2,1,service_links,0.08645855334492493,1,0,5.187426743583103,0.0,0 days 00:01:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.940551 37.269959, -79.939109 37.270458)",t,Valley Metro Roanoke,15.0,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,,,
100034,1500023,1500003,bus,1,3894.2,1,service_links,0.09240626880868871,1,0,5.544283723792593,0.0,0 days 00:01:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.939109 37.270458, -79.93926 37.27179)",t,Valley Metro Roanoke,16.0,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,,,
100035,1500063,1500044,bus,1,3913.1,1,service_links,7.412068496791943,1,0,29.64824104467772,0.0,0 days 00:15:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.424586 37.232026, -80.371633 37.133394)",t,Valley Metro Roanoke,0.0,3913.1:0;1;2;3,,,
100036,1500044,1500056,bus,1,3913.1,1,service_links,25.619712988932456,1,0,43.9194870669856,0.0,0 days 00:35:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.371633 37.133394, -79.940434 37.273161)",t,Valley Metro Roanoke,1.0,3913.1:0;1;2;3,,,
100037,1500056,1500058,bus,1,3913.1,1,service_links,0.36236256658879046,1,0,4.348336304611137,0.0,0 days 00:05:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.940434 37.273161, -79.946962 37.27244)",t,Valley Metro Roanoke,2.0,3913.1:0;1;2;3,,,
100038,1500064,1500045,bus,1,3913.1,1,service_links,7.412068496791943,1,0,29.64824104467772,0.0,0 days 00:15:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.424586 37.232026, -80.371633 37.133394)",t,Valley Metro Roanoke,0.0,3913.1:0;1;2;3;4,,,
100039,1500045,1500040,bus,1,3913.1,1,service_links,21.512653335723442,1,0,43.025282768512014,0.0,0 days 00:30:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.371633 37.133394, -80.055211 37.316316)",t,Valley Metro Roanoke,1.0,3913.1:0;1;2;3;4,,,
100040,1500040,1500057,bus,1,3913.1,1,service_links,6.977958835902555,1,0,20.933859062825114,0.0,0 days 00:20:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.055211 37.316316, -79.940434 37.273161)",t,Valley Metro Roanoke,2.0,3913.1:0;1;2;3;4,,,
100041,1500057,1500059,bus,1,3913.1,1,service_links,0.36236256658879046,1,0,4.348336304611137,0.0,0 days 00:05:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.940434 37.273161, -79.946962 37.27244)",t,Valley Metro Roanoke,3.0,3913.1:0;1;2;3;4,,,
100042,1500065,1500053,bus,1,3913.1,1,service_links,4.8247159755520865,1,0,19.29884245905006,0.0,0 days 00:15:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.424586 37.232026, -80.42121 37.162249)",t,Valley Metro Roanoke,0.0,3913.1:0;1;2;3;4;5,,,
100043,1500053,1500046,bus,1,3913.1,1,service_links,3.380777934913642,1,0,20.28463380175885,0.0,0 days 00:10:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.42121 37.162249, -80.371633 37.133394)",t,Valley Metro Roanoke,1.0,3913.1:0;1;2;3;4;5,,,
100044,1500046,1500041,bus,1,3913.1,1,service_links,21.512653335723442,1,0,43.025282768512014,0.0,0 days 00:30:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.371633 37.133394, -80.055211 37.316316)",t,Valley Metro Roanoke,2.0,3913.1:0;1;2;3;4;5,,,
100045,1500041,1500037,bus,1,3913.1,1,service_links,4.7320437332783385,1,0,28.39221507931157,0.0,0 days 00:10:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.055211 37.316316, -79.96927 37.320702)",t,Valley Metro Roanoke,3.0,3913.1:0;1;2;3;4;5,,,
100046,1500037,1500060,bus,1,3913.1,1,service_links,3.552876860145106,1,0,14.211491650034148,0.0,0 days 00:15:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.96927 37.320702, -79.946962 37.27244)",t,Valley Metro Roanoke,4.0,3913.1:0;1;2;3;4;5,,,
100047,1500066,1500051,bus,1,3913.1,1,service_links,0.7608644609372808,1,0,15.217204678719623,0.0,0 days 00:03:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.424586 37.232026, -80.411981 37.227494)",t,Valley Metro Roanoke,0.0,3913.1:0;1;2;3;4;5;6,,,
100048,1500051,1500049,bus,1,3913.1,1,service_links,1.630682109960204,1,0,19.568120092455473,0.0,0 days 00:05:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.411981 37.227494, -80.412533 37.203897)",t,Valley Metro Roanoke,1.0,3913.1:0;1;2;3;4;5;6,,,
100049,1500049,1500054,bus,1,3913.1,1,service_links,2.916978154824848,1,0,14.584870517359631,0.0,0 days 00:12:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.412533 37.203897, -80.42121 37.162249)",t,Valley Metro Roanoke,2.0,3913.1:0;1;2;3;4;5;6,,,
100050,1500054,1500047,bus,1,3913.1,1,service_links,3.380777934913642,1,0,40.56919998829708,0.0,0 days 00:05:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.42121 37.162249, -80.371633 37.133394)",t,Valley Metro Roanoke,3.0,3913.1:0;1;2;3;4;5;6,,,
100051,1500047,1500042,bus,1,3913.1,1,service_links,21.512653335723442,1,0,51.630333585513874,0.0,0 days 00:25:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.371633 37.133394, -80.055211 37.316316)",t,Valley Metro Roanoke,4.0,3913.1:0;1;2;3;4;5;6,,,
100052,1500042,1500061,bus,1,3913.1,1,service_links,6.6778089496537545,1,0,13.355610479523909,0.0,0 days 00:30:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.055211 37.316316, -79.946962 37.27244)",t,Valley Metro Roanoke,5.0,3913.1:0;1;2;3;4;5;6,,,
100053,1500067,1500052,bus,1,3913.1,1,service_links,0.7608644609372808,1,0,15.217204678719623,0.0,0 days 00:03:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.424586 37.232026, -80.411981 37.227494)",t,Valley Metro Roanoke,0.0,3913.1:0;1;2;3;4;5;6;7,,,
100054,1500052,1500050,bus,1,3913.1,1,service_links,1.630682109960204,1,0,19.568120092455473,0.0,0 days 00:05:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.411981 37.227494, -80.412533 37.203897)",t,Valley Metro Roanoke,1.0,3913.1:0;1;2;3;4;5;6;7,,,
100055,1500050,1500055,bus,1,3913.1,1,service_links,2.916978154824848,1,0,25.00261036847401,0.0,0 days 00:07:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.412533 37.203897, -80.42121 37.162249)",t,Valley Metro Roanoke,2.0,3913.1:0;1;2;3;4;5;6;7,,,
100056,1500055,1500048,bus,1,3913.1,1,service_links,3.380777934913642,1,0,20.28463380175885,0.0,0 days 00:10:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.42121 37.162249, -80.371633 37.133394)",t,Valley Metro Roanoke,3.0,3913.1:0;1;2;3;4;5;6;7,,,
100057,1500048,1500043,bus,1,3913.1,1,service_links,21.512653335723442,1,0,43.025282768512014,0.0,0 days 00:30:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.371633 37.133394, -80.055211 37.316316)",t,Valley Metro Roanoke,4.0,3913.1:0;1;2;3;4;5;6;7,,,
100058,1500043,1500038,bus,1,3913.1,1,service_links,4.7320437332783385,1,0,28.39221507931157,0.0,0 days 00:10:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.055211 37.316316, -79.96927 37.320702)",t,Valley Metro Roanoke,5.0,3913.1:0;1;2;3;4;5;6;7,,,
100059,1500038,1500062,bus,1,3913.1,1,service_links,3.552876860145106,1,0,9.689656823382998,0.0,0 days 00:22:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.96927 37.320702, -79.946962 37.27244)",t,Valley Metro Roanoke,6.0,3913.1:0;1;2;3;4;5;6;7,,,
100060,1500086,1500087,bus,1,3913.2,1,service_links,0.36236256658879046,1,0,4.348336304611137,0.0,0 days 00:05:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.940434 37.273161, -79.946962 37.27244)",t,Valley Metro Roanoke,0.0,3913.2:0;1;2;3;4,,,
100061,1500087,1500071,bus,1,3913.2,1,service_links,6.6778089496537545,1,0,26.71120611949711,0.0,0 days 00:15:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.946962 37.27244, -80.055211 37.316316)",t,Valley Metro Roanoke,1.0,3913.2:0;1;2;3;4,,,
100062,1500071,1500075,bus,1,3913.2,1,service_links,21.512653335723442,1,0,43.025282768512014,0.0,0 days 00:30:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.055211 37.316316, -80.371633 37.133394)",t,Valley Metro Roanoke,2.0,3913.2:0;1;2;3;4,,,
100063,1500075,1500091,bus,1,3913.2,1,service_links,7.412068496791943,1,0,17.788952532998973,0.0,0 days 00:25:00,0.0,0.15,4.0,0.0,"LINESTRING (-80.371633 37.133394, -80.424586 37.232026)",t,Valley Metro Roanoke,3.0,3913.2:0;1;2;3;4,,,
