node_id,x_coord,y_coord,zone_id,is_centroid
60,-79.95031,37.35549,62,1
61,-79.93985,37.356,63,1
62,-79.96132,37.34108,64,1
63,-79.94974,37.33856,65,1
64,-79.9324,37.34853,66,1
65,-79.95812,37.32833,67,1
66,-79.94224,37.32871,68,1
67,-79.93359,37.33083,69,1
68,-79.92355,37.33924,70,1
69,-79.87993,37.32725,71,1
70,-80.04041,37.25652,72,1
71,-79.85185,37.29955,73,1
72,-79.89198,37.32141,74,1
73,-79.90348,37.20738,75,1
74,-79.94523,37.20639,76,1
75,-79.95477,37.1831,77,1
76,-79.98799,37.1992,78,1
77,-80.02049,37.20053,79,1
78,-80.02002,37.18213,80,1
79,-80.06925,37.19325,81,1
80,-80.09657,37.19887,82,1
81,-80.05202,37.21519,83,1
82,-80.08143,37.22273,84,1
83,-79.98135,37.15551,85,1
84,-80.15194,37.28009,86,1
85,-80.16089,37.25747,195,1
86,-80.16453,37.23185,87,1
87,-79.9812,37.35441,89,1
88,-79.94232,37.27434,90,1
89,-79.94654,37.27283,91,1
90,-79.94372,37.26337,92,1
91,-79.94355,37.25726,93,1
92,-79.95112,37.26261,94,1
93,-79.95331,37.27034,95,1
94,-79.96306,37.27001,96,1
95,-79.97021,37.27602,97,1
96,-79.98601,37.26497,98,1
97,-79.99281,37.25768,99,1
98,-79.9901,37.24772,100,1
99,-79.97909,37.25328,101,1
100,-79.97149,37.26118,102,1
101,-79.9622,37.26269,103,1
102,-79.95485,37.25483,104,1
103,-79.95483,37.25246,105,1
104,-79.97384,37.24447,106,1
105,-79.95997,37.23822,107,1
106,-79.95236,37.24706,108,1
107,-79.94683,37.24205,109,1
108,-79.93553,37.2548,110,1
109,-79.93248,37.23724,111,1
110,-79.91536,37.24555,112,1
111,-79.90753,37.25581,113,1
112,-79.92025,37.25352,114,1
113,-79.9227,37.26176,115,1
114,-79.91182,37.26946,116,1
115,-79.91507,37.27612,117,1
116,-79.92209,37.27441,118,1
117,-79.93327,37.26527,119,1
118,-79.93123,37.27569,120,1
119,-79.93189,37.28066,121,1
120,-79.92307,37.28721,122,1
121,-79.91076,37.28677,123,1
122,-79.89814,37.28646,124,1
123,-79.91621,37.29151,125,1
124,-79.92362,37.29857,126,1
125,-79.93458,37.30574,127,1
126,-79.93473,37.29916,128,1
127,-79.94266,37.29491,129,1
128,-79.93683,37.28888,130,1
129,-79.93124,37.28884,131,1
130,-79.94413,37.27883,132,1
131,-79.95003,37.27983,133,1
132,-79.94825,37.28736,134,1
133,-79.94099,37.28621,135,1
134,-79.96054,37.29594,136,1
135,-79.96075,37.28851,137,1
136,-79.96214,37.28231,138,1
137,-79.97128,37.28456,139,1
138,-79.97049,37.29184,140,1
139,-79.97224,37.3029,141,1
140,-79.97976,37.29521,142,1
141,-79.98155,37.28371,143,1
142,-80.00006,37.28391,144,1
143,-79.99846,37.29063,145,1
144,-79.99968,37.29882,146,1
145,-79.95402,37.30703,147,1
146,-79.95063,37.29792,148,1
147,-79.94172,37.30996,149,1
148,-79.94401,37.31744,150,1
149,-80.00728,37.25392,151,1
150,-80.02747,37.25345,152,1
151,-80.01421,37.25928,153,1
152,-80.01208,37.26627,154,1
153,-80.00041,37.27482,155,1
154,-80.01431,37.28529,156,1
155,-80.0126,37.29304,157,1
156,-80.0141,37.30815,158,1
157,-79.99699,37.30689,159,1
158,-79.9906,37.31565,160,1
159,-79.97252,37.32587,161,1
160,-79.96496,37.32068,162,1
161,-79.91713,37.31288,163,1
162,-79.90308,37.30385,164,1
163,-79.89788,37.29328,165,1
164,-79.95559,37.2226,166,1
165,-79.96843,37.24145,167,1
166,-79.96439,37.30507,168,1
167,-80.05897,37.29341,169,1
168,-80.07149,37.27196,170,1
169,-80.05754,37.29796,171,1
170,-80.04689,37.29646,172,1
171,-80.05002,37.2893,173,1
172,-80.04541,37.30191,174,1
173,-80.02585,37.30355,175,1
174,-80.0237,37.29563,176,1
175,-80.02844,37.28134,177,1
176,-80.01966,37.27374,178,1
177,-80.0349,37.26547,179,1
178,-80.04454,37.27792,180,1
179,-80.03658,37.28702,181,1
180,-80.05093,37.28474,182,1
181,-80.05162,37.27022,183,1
182,-80.06443,37.27771,184,1
183,-80.06453,37.28855,185,1
184,-80.06792,37.29502,186,1
185,-80.07798,37.29496,187,1
186,-80.0204,37.26834,188,1
