id,from_node_id,to_node_id,transit_type,dir_flag,directed_route_id,link_type,name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,allowed_uses,agency_name,stop_sequence,directed_service_id
100030,150027,150017,bus,1,3894.2,1,transit_service_links,0.362790787263883,1,0,21.745701534298682,0,1,0,0.15,4,0,"LINESTRING (-79.941436 37.260543, -79.940977 37.265781)",t,Valley Metro Roanoke,12,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100031,150017,150019,bus,1,3894.2,1,transit_service_links,0.17899294352196773,1,0,10.72884776355451,0,1,0,0.15,4,0,"LINESTRING (-79.940977 37.265781, -79.940632 37.268357)",t,Valley Metro Roanoke,13,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100032,150019,150021,bus,1,3894.2,1,transit_service_links,0.1107773470524029,1,0,6.640000822321853,0,1,0,0.15,4,0,"LINESTRING (-79.940632 37.268357, -79.940551 37.269959)",t,Valley Metro Roanoke,14,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100033,150021,150023,bus,1,3894.2,1,transit_service_links,0.08645855334492493,1,0,5.1823308698256705,0,1,0,0.15,4,0,"LINESTRING (-79.940551 37.269959, -79.939109 37.270458)",t,Valley Metro Roanoke,15,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100034,150023,150003,bus,1,3894.2,1,transit_service_links,0.09240626880868871,1,0,5.5388372912300925,0,1,0,0.15,4,0,"LINESTRING (-79.939109 37.270458, -79.93926 37.27179)",t,Valley Metro Roanoke,16,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100035,150063,150044,bus,1,3913.1,1,transit_service_links,7.412068496791943,1,0,29.646297567329952,0,15,0,0.15,4,0,"LINESTRING (-80.424586 37.232026, -80.371633 37.133394)",t,Valley Metro Roanoke,0,3913.1:0;1;2;3
100036,150044,150056,bus,1,3913.1,1,transit_service_links,25.619712988932456,1,0,43.91825317379354,0,35,0,0.15,4,0,"LINESTRING (-80.371633 37.133394, -79.940434 37.273161)",t,Valley Metro Roanoke,1,3913.1:0;1;2;3
100037,150056,150058,bus,1,3913.1,1,transit_service_links,0.36236256658879046,1,0,4.347481302804924,0,5,0,0.15,4,0,"LINESTRING (-79.940434 37.273161, -79.946962 37.27244)",t,Valley Metro Roanoke,2,3913.1:0;1;2;3
100038,150064,150045,bus,1,3913.1,1,transit_service_links,7.412068496791943,1,0,29.646297567329952,0,15,0,0.15,4,0,"LINESTRING (-80.424586 37.232026, -80.371633 37.133394)",t,Valley Metro Roanoke,0,3913.1:0;1;2;3;4
100039,150045,150040,bus,1,3913.1,1,transit_service_links,21.512653335723442,1,0,43.02387254236214,0,30,0,0.15,4,0,"LINESTRING (-80.371633 37.133394, -80.055211 37.316316)",t,Valley Metro Roanoke,1,3913.1:0;1;2;3;4
100040,150040,150057,bus,1,3913.1,1,transit_service_links,6.977958835902555,1,0,20.93282986621435,0,20,0,0.15,4,0,"LINESTRING (-80.055211 37.316316, -79.940434 37.273161)",t,Valley Metro Roanoke,2,3913.1:0;1;2;3;4
100041,150057,150059,bus,1,3913.1,1,transit_service_links,0.36236256658879046,1,0,4.347481302804924,0,5,0,0.15,4,0,"LINESTRING (-79.940434 37.273161, -79.946962 37.27244)",t,Valley Metro Roanoke,3,3913.1:0;1;2;3;4
100042,150065,150053,bus,1,3913.1,1,transit_service_links,4.8247159755520865,1,0,19.297577397048542,0,15,0,0.15,4,0,"LINESTRING (-80.424586 37.232026, -80.42121 37.162249)",t,Valley Metro Roanoke,0,3913.1:0;1;2;3;4;5
100043,150053,150046,bus,1,3913.1,1,transit_service_links,3.380777934913642,1,0,20.2826393455473,0,10,0,0.15,4,0,"LINESTRING (-80.42121 37.162249, -80.371633 37.133394)",t,Valley Metro Roanoke,1,3913.1:0;1;2;3;4;5
100044,150046,150041,bus,1,3913.1,1,transit_service_links,21.512653335723442,1,0,43.02387254236214,0,30,0,0.15,4,0,"LINESTRING (-80.371633 37.133394, -80.055211 37.316316)",t,Valley Metro Roanoke,2,3913.1:0;1;2;3;4;5
100045,150041,150037,bus,1,3913.1,1,transit_service_links,4.7320437332783385,1,0,28.3894234573243,0,10,0,0.15,4,0,"LINESTRING (-80.055211 37.316316, -79.96927 37.320702)",t,Valley Metro Roanoke,3,3913.1:0;1;2;3;4;5
100046,150037,150060,bus,1,3913.1,1,transit_service_links,3.552876860145106,1,0,14.210560069909096,0,15,0,0.15,4,0,"LINESTRING (-79.96927 37.320702, -79.946962 37.27244)",t,Valley Metro Roanoke,4,3913.1:0;1;2;3;4;5
100047,150066,150051,bus,1,3913.1,1,transit_service_links,0.7608644609372808,1,0,15.212218479252533,0,3,0,0.15,4,0,"LINESTRING (-80.424586 37.232026, -80.411981 37.227494)",t,Valley Metro Roanoke,0,3913.1:0;1;2;3;4;5;6
100048,150051,150049,bus,1,3913.1,1,transit_service_links,1.630682109960204,1,0,19.564272465029443,0,5,0,0.15,4,0,"LINESTRING (-80.411981 37.227494, -80.412533 37.203897)",t,Valley Metro Roanoke,1,3913.1:0;1;2;3;4;5;6
100049,150049,150054,bus,1,3913.1,1,transit_service_links,2.916978154824848,1,0,14.583675467835254,0,12,0,0.15,4,0,"LINESTRING (-80.412533 37.203897, -80.42121 37.162249)",t,Valley Metro Roanoke,2,3913.1:0;1;2;3;4;5;6
100050,150054,150047,bus,1,3913.1,1,transit_service_links,3.380777934913642,1,0,40.56122297436883,0,5,0,0.15,4,0,"LINESTRING (-80.42121 37.162249, -80.371633 37.133394)",t,Valley Metro Roanoke,3,3913.1:0;1;2;3;4;5;6
100051,150047,150042,bus,1,3913.1,1,transit_service_links,21.512653335723442,1,0,51.628302873621315,0,25,0,0.15,4,0,"LINESTRING (-80.371633 37.133394, -80.055211 37.316316)",t,Valley Metro Roanoke,4,3913.1:0;1;2;3;4;5;6
100052,150042,150061,bus,1,3913.1,1,transit_service_links,6.6778089496537545,1,0,13.355172726883279,0,30,0,0.15,4,0,"LINESTRING (-80.055211 37.316316, -79.946962 37.27244)",t,Valley Metro Roanoke,5,3913.1:0;1;2;3;4;5;6
