link_id,AAWDT,mpo_vol_am,mpo_vol_md,mpo_vol_pm,mpo_vol_nt,mpo_vol_total
285,0,185,240,184,81,690
286,0,132,279,159,93,663
287,0,339,499,359,166,1363
288,0,404,702,541,238,1885
289,0,442,974,825,319,2560
290,0,333,580,488,256,1657
292,0,309,636,499,223,1667
291,0,348,612,533,222,1715
293,0,120,308,228,108,764
294,0,131,265,228,106,730
295,0,224,431,358,149,1162
297,0,322,850,820,325,2317
298,0,452,965,899,468,2784
299,0,392,1275,1493,547,3707
300,0,9,319,398,14,740
301,0,615,1344,995,634,3588
302,0,250,885,924,389,2448
303,0,312,969,1151,523,2955
304,0,229,528,559,305,1621
305,0,134,406,455,117,1112
306,0,171,499,492,173,1335
307,0,155,344,354,165,1018
308,0,1,19,24,2,46
309,0,778,1504,1320,598,4200
310,0,150,247,169,79,645
311,0,259,401,309,129,1098
312,0,513,669,465,213,1860
313,0,127,548,527,109,1311
314,0,464,957,906,527,2854
315,0,76,140,103,52,371
316,0,367,591,442,198,1598
317,0,490,1221,1160,479,3350
318,0,11,37,38,15,101
319,0,523,1309,1248,526,3606
320,0,388,611,511,209,1719
321,0,228,561,452,224,1465
322,0,239,481,434,176,1330
323,0,336,615,476,214,1641
324,0,354,558,407,183,1502
325,0,299,1089,1220,525,3133
326,0,295,562,432,173,1462
327,0,519,772,596,287,2174
328,0,129,246,160,73,608
329,0,448,623,468,201,1740
330,0,124,179,139,49,491
331,0,498,711,504,232,1945
332,0,10,14,9,4,37
333,0,101,344,493,185,1123
334,0,112,148,166,210,636
335,0,90,366,441,165,1062
336,0,1,341,446,0,788
337,0,1,4,2,1,8
338,0,353,1239,1293,545,3430
339,0,176,657,700,275,1808
340,0,122,406,452,181,1161
341,0,160,594,638,251,1643
343,0,178,663,679,290,1810
344,0,404,1378,1399,584,3765
345,0,82,274,308,120,784
346,0,2,4,3,1,10
347,0,50,157,155,83,445
348,0,46,191,222,70,529
349,0,20,73,84,34,211
350,0,138,554,803,263,1758
351,0,8,24,29,12,73
352,0,28,96,95,41,260
353,0,63,223,264,97,647
354,0,152,463,558,201,1374
355,0,16,87,112,22,237
356,0,133,414,473,208,1228
357,0,77,150,135,66,428
358,0,150,324,281,118,873
359,0,4627,9877,2721,5361,22586
360,0,1385,2043,401,1118,4947
361,0,366,540,106,295,1307
362,0,161,238,47,131,577
363,0,1651,2436,478,1333,5898
364,0,3271,7350,2090,3986,16697
365,0,2627,3786,719,2073,9205
366,0,1184,3470,1123,1873,7650
367,0,952,1307,232,717,3208
368,0,822,1123,197,615,2757
369,0,3614,4937,867,2708,12126
370,0,229,312,54,171,766
371,0,399,982,294,532,2207
372,0,932,1667,402,908,3909
373,0,83,215,65,117,480
374,0,100,246,74,134,554
375,22962,4627,9877,2721,5361,22586
376,0,2846,12188,3870,5912,24816
377,0,2846,12188,3870,5912,24816
378,0,4627,9877,2721,5361,22586
379,0,2683,11637,3686,5619,23625
380,0,0,0,0,0,0
381,0,0,0,0,0,0
382,0,0,0,0,0,0
383,0,15,18,3,10,46
384,0,4612,9858,2719,5351,22540
385,0,165,551,183,293,1192
386,0,0,0,0,0,0
387,0,165,551,183,293,1192
388,0,0,0,0,0,0
389,0,15,18,3,10,46
390,0,2683,11637,3686,5619,23625
391,0,0,0,0,0,0
392,0,165,551,183,293,1192
393,0,15,18,3,10,46
394,0,0,0,0,0,0
395,0,4612,9858,2719,5351,22540
396,0,2683,11637,3686,5619,23625
397,0,165,551,183,293,1192
398,1206,15,18,3,10,46
399,3877,535,2512,784,1180,5011
400,0,4612,9858,2719,5351,22540
401,3877,535,2512,784,1180,5011
402,0,535,2512,784,1180,5011
403,1206,165,551,183,293,1192
404,0,15,18,3,10,46
405,3877,932,1667,402,908,3909
406,0,535,2512,784,1180,5011
407,0,932,1667,402,908,3909
408,0,932,1667,402,908,3909
409,0,932,1667,402,908,3909
410,0,535,2512,784,1180,5011
411,0,932,1667,402,908,3909
412,0,535,2512,784,1180,5011
413,0,0,0,0,0,0
414,0,0,0,0,0,0
415,0,932,1667,402,908,3909
416,0,535,2512,784,1180,5011
417,0,166,276,287,131,860
418,0,198,315,293,153,959
419,0,6,55,16,22,99
420,0,1090,1911,676,992,4669
421,0,695,2734,1056,1289,5774
422,0,1090,1911,676,992,4669
423,0,695,2734,1056,1289,5774
424,0,1090,1911,676,992,4669
425,0,4612,9858,2719,5351,22540
426,0,695,2734,1056,1289,5774
427,0,0,0,0,0,0
428,0,2683,11637,3686,5619,23625
429,0,0,0,0,0,0
430,0,1090,1911,676,992,4669
431,0,695,2734,1056,1289,5774
432,0,1090,1911,676,992,4669
433,0,2683,11637,3686,5619,23625
434,0,4612,9858,2719,5351,22540
435,0,165,551,183,293,1192
436,0,15,18,3,10,46
437,0,695,2734,1056,1289,5774
438,0,1090,1911,676,992,4669
439,0,695,2734,1056,1289,5774
440,0,1090,1911,676,992,4669
441,23572,4612,9858,2719,5351,22540
442,0,695,2734,1056,1289,5774
443,0,0,0,0,0,0
444,0,165,551,183,293,1192
445,0,15,18,3,10,46
446,0,0,0,0,0,0
447,0,1090,1911,676,992,4669
448,0,695,2734,1056,1289,5774
449,0,1090,1911,676,992,4669
450,0,165,551,183,293,1192
451,0,15,18,3,10,46
452,0,695,2734,1056,1289,5774
453,0,165,551,183,293,1192
454,0,15,18,3,10,46
455,0,162,526,176,283,1147
456,0,943,1402,503,718,3566
457,0,695,2734,1056,1289,5774
458,0,165,551,183,293,1192
459,0,14,18,3,10,45
460,0,697,2757,1063,1299,5816
461,0,943,1402,503,718,3566
462,0,697,2757,1063,1299,5816
463,0,0,0,0,0,0
464,0,0,0,0,0,0
465,8308,943,1402,503,718,3566
466,21595,2683,11637,3686,5619,23625
467,0,2683,11637,3686,5619,23625
468,0,4612,9858,2719,5351,22540
469,0,4612,9858,2719,5351,22540
470,0,697,2757,1063,1299,5816
471,0,943,1402,503,718,3566
472,0,2683,11637,3686,5619,23625
473,0,4612,9858,2719,5351,22540
474,0,697,2757,1063,1299,5816
475,0,943,1402,503,718,3566
476,0,697,2757,1063,1299,5816
477,0,943,1402,503,718,3566
478,0,697,2757,1063,1299,5816
479,0,0,0,0,0,0
480,0,0,0,0,0,0
481,0,943,1402,503,718,3566
482,0,195,382,380,180,1137
483,0,697,2757,1063,1299,5816
484,0,243,333,291,121,988
485,0,40,55,24,26,145
486,0,1146,1680,769,812,4407
487,0,0,0,0,0,0
488,0,1146,1680,769,812,4407
489,0,834,3016,1387,1424,6661
490,0,0,0,0,0,0
491,0,834,3016,1387,1424,6661
492,0,1146,1680,769,812,4407
493,0,834,3016,1387,1424,6661
494,0,1146,1680,769,812,4407
495,0,834,3016,1387,1424,6661
496,0,1146,1680,769,812,4407
497,0,2683,11637,3686,5619,23625
498,0,4612,9858,2719,5351,22540
499,0,834,3016,1387,1424,6661
500,0,0,0,0,0,0
501,0,0,0,0,0,0
502,0,1146,1680,769,812,4407
503,0,834,3016,1387,1424,6661
504,0,1146,1680,769,812,4407
505,0,2683,11637,3686,5619,23625
506,0,175,219,33,121,548
507,0,4436,9639,2686,5230,21991
508,0,33,307,88,121,549
509,0,890,2488,1542,1469,6389
510,0,922,2795,1629,1590,6936
511,0,834,3016,1387,1424,6661
512,0,97,260,283,118,758
513,0,1336,1914,927,879,5056
514,0,909,3235,1640,1526,7310
515,0,0,0,0,0,0
516,0,212,274,187,84,757
517,0,97,260,283,118,758
518,0,0,0,0,0,0
519,0,1336,1914,927,879,5056
520,0,0,0,0,0,0
521,2823,1065,2707,1575,1590,6937
522,0,33,307,88,121,549
523,0,1201,1797,905,865,4768
524,0,212,274,187,84,757
525,308,97,260,283,118,758
526,0,909,3235,1640,1526,7310
527,0,0,0,0,0,0
528,0,909,3235,1640,1526,7310
529,0,262,377,203,199,1041
530,2823,1234,2104,993,986,5317
531,0,106,906,268,135,1415
532,0,0,0,0,0,0
533,0,1336,1914,927,879,5056
534,0,1598,2291,1130,1079,6098
535,0,1108,1639,745,786,4278
536,0,490,651,385,293,1819
537,0,231,1370,516,335,2452
538,0,0,0,0,0,0
539,0,0,0,0,0,0
540,0,490,651,385,293,1819
541,0,4436,9639,2686,5230,21991
542,0,2650,11330,3599,5498,23077
543,0,890,2488,1542,1469,6389
544,0,5636,11437,3591,6095,26759
545,0,3538,13817,5140,6968,29463
546,0,100,268,291,122,781
547,308,212,274,187,84,757
548,0,6,8,7,2,23
549,0,424,667,599,281,1971
550,0,231,1370,516,335,2452
551,0,540,721,502,290,2053
552,0,332,1413,618,329,2692
553,0,540,721,502,290,2053
554,0,332,1413,618,329,2692
555,0,540,721,502,290,2053
556,0,3,8,8,4,23
557,0,6,8,7,2,23
558,0,3,8,8,4,23
559,0,6,8,7,2,23
560,0,3,8,8,4,23
561,0,6,8,7,2,23
562,0,3,8,8,4,23
563,134,6,8,7,2,23
564,0,332,1413,618,329,2692
565,0,540,721,502,290,2053
566,134,3,8,8,4,23
567,0,6,8,7,2,23
568,0,332,1413,618,329,2692
569,0,540,721,502,290,2053
570,0,3,8,8,4,23
571,0,6,8,7,2,23
572,0,332,1413,618,329,2692
573,0,0,0,0,0,0
574,0,0,0,0,0,0
575,0,540,721,502,290,2053
576,0,0,0,0,0,0
577,0,332,1413,618,329,2692
578,5377,540,721,502,290,2053
579,0,3,8,8,4,23
580,0,6,8,7,2,23
581,0,3,8,8,4,23
582,0,6,8,7,2,23
583,0,0,0,0,0,0
584,823,0,0,0,0,0
585,0,0,0,0,0,0
586,823,0,0,0,0,0
587,0,0,0,0,0,0
588,0,426,686,643,313,2068
589,5377,332,1413,618,329,2692
590,0,873,1255,1025,464,3617
591,0,3538,13817,5140,6968,29463
592,0,3,8,8,4,23
593,0,6,8,7,2,23
594,25610,5636,11437,3591,6095,26759
595,0,0,0,0,0,0
596,0,3,8,8,4,23
597,0,6,8,7,2,23
598,0,3,8,8,4,23
599,0,6,8,7,2,23
600,0,3,8,8,4,23
601,0,6,8,7,2,23
602,0,0,0,0,0,0
603,0,0,0,0,0,0
604,0,3,8,8,4,23
605,0,6,8,7,2,23
606,0,653,1901,1147,559,4260
607,0,873,1255,1025,464,3617
608,0,653,1901,1147,559,4260
609,0,873,1255,1025,464,3617
610,0,0,0,0,0,0
611,0,0,0,0,0,0
612,0,6,8,7,2,23
613,0,0,0,0,0,0
614,0,3,8,8,4,23
615,0,3,8,8,4,23
616,0,6,8,7,2,23
617,0,653,1901,1147,559,4260
618,0,873,1255,1025,464,3617
619,0,653,1901,1147,559,4260
620,7144,873,1255,1025,464,3617
621,7144,653,1901,1147,559,4260
622,0,873,1255,1025,464,3617
623,0,309,375,263,135,1082
624,0,212,474,478,210,1374
625,0,653,1901,1147,559,4260
626,0,1181,1840,1599,683,5303
627,0,399,982,294,532,2207
628,0,266,1045,337,523,2171
629,0,266,1045,337,523,2171
630,0,399,982,294,532,2207
631,0,522,520,381,228,1651
632,0,1022,2453,1689,786,5950
633,0,1294,2208,2120,826,6448
634,0,399,982,294,532,2207
635,0,266,1045,337,523,2171
636,0,5636,11437,3591,6095,26759
637,0,266,1045,337,523,2171
638,0,399,982,294,532,2207
639,0,1436,2780,1947,934,7097
640,9105,1294,2208,2120,826,6448
641,9105,1436,2780,1947,934,7097
642,0,1294,2208,2120,826,6448
643,0,1436,2780,1947,934,7097
644,0,1294,2208,2120,826,6448
645,0,3538,13817,5140,6968,29463
646,0,266,1045,337,523,2171
647,0,399,982,294,532,2207
648,0,1436,2780,1947,934,7097
649,0,1294,2208,2120,826,6448
650,0,399,982,294,532,2207
651,0,266,1045,337,523,2171
652,0,1436,2780,1947,934,7097
653,0,1294,2208,2120,826,6448
654,0,5636,11437,3591,6095,26759
655,0,1436,2780,1947,934,7097
656,0,1294,2208,2120,826,6448
657,0,266,1045,337,523,2171
658,0,399,982,294,532,2207
659,0,266,1045,337,523,2171
660,0,399,982,294,532,2207
661,0,1436,2780,1947,934,7097
662,0,1294,2208,2120,826,6448
663,0,266,1045,337,523,2171
664,0,399,982,294,532,2207
665,0,229,531,510,232,1502
666,0,1436,2780,1947,934,7097
667,0,1582,2644,2451,960,7637
668,0,266,1045,337,523,2171
669,0,399,982,294,532,2207
670,0,266,1045,337,523,2171
671,0,399,982,294,532,2207
672,0,1599,3189,2381,1117,8286
673,0,416,955,979,443,2793
674,10260,2085,3319,2949,1183,9536
675,0,689,1006,729,353,2777
676,0,416,955,979,443,2793
677,0,689,1006,729,353,2777
678,0,416,955,979,443,2793
679,0,689,1006,729,353,2777
680,2523,416,955,979,443,2793
681,2523,689,1006,729,353,2777
682,2399,416,955,979,443,2793
683,2399,689,1006,729,353,2777
684,0,416,955,979,443,2793
685,0,550,1238,1276,570,3634
686,0,689,1006,729,353,2777
687,0,213,291,248,99,851
688,24043,3538,13817,5140,6968,29463
689,0,5636,11437,3591,6095,26759
690,0,295,770,840,342,2247
691,0,7,14,11,4,36
692,0,675,864,605,265,2409
693,0,52,75,60,22,209
694,0,7,14,11,4,36
695,0,3968,9139,2963,4836,20906
696,0,1670,2298,627,1260,5855
697,0,3042,11656,4124,5705,24527
698,0,266,1045,337,523,2171
699,2189,399,982,294,532,2207
700,0,293,767,835,340,2235
701,0,675,864,605,265,2409
702,0,52,75,60,22,209
703,0,7,14,11,4,36
704,0,134,284,297,127,842
705,0,213,291,248,99,851
706,0,52,75,60,22,209
707,0,7,14,11,4,36
708,0,52,75,60,22,209
709,0,7,14,11,4,36
710,0,202,492,487,217,1398
711,0,293,767,835,340,2235
712,0,1017,1370,965,422,3774
713,0,3968,9139,2963,4836,20906
714,0,496,2160,1016,1263,4935
715,0,1000,1293,937,392,3622
716,0,171,420,465,186,1242
717,0,2136,3295,2875,1244,9550
718,0,3042,11656,4124,5705,24527
719,0,1306,2422,2403,1039,7170
720,0,490,1246,1313,553,3602
721,0,479,2083,988,1232,4782
722,0,2136,3295,2875,1244,9550
723,0,798,2909,1836,1599,7142
724,0,914,1075,753,407,3149
725,10260,1829,3813,3129,1429,10200
726,0,2178,4057,3850,1583,11668
727,0,389,1143,581,597,2710
728,0,530,1225,529,596,2880
729,0,3425,5092,3185,2321,14023
730,0,380,500,318,183,1381
731,11209,3425,5092,3185,2321,14023
732,0,798,2909,1836,1599,7142
733,0,1485,2830,2447,1118,7880
734,0,1903,5239,3965,2535,13642
735,0,52,75,60,22,209
736,0,7,14,11,4,36
737,0,530,1225,529,596,2880
738,0,389,1143,581,597,2710
739,0,2537,4537,3563,1711,12348
740,0,2178,4057,3850,1583,11668
741,0,218,342,258,129,947
742,9590,3277,4914,3075,2258,13524
743,0,317,512,395,172,1396
744,11209,1903,5239,3965,2535,13642
745,0,69,164,149,66,448
746,2189,266,1045,337,523,2171
747,0,399,982,294,532,2207
748,0,389,1143,581,597,2710
749,0,530,1225,529,596,2880
750,0,52,75,60,22,209
751,0,7,14,11,4,36
752,0,298,595,525,223,1641
753,0,2537,4537,3563,1711,12348
754,0,2435,4523,4193,1743,12894
755,0,0,0,0,0,0
756,0,3277,4914,3075,2258,13524
757,9590,1843,5011,3799,2420,13073
758,0,0,0,0,0,0
759,0,266,1045,337,523,2171
760,0,399,982,294,532,2207
761,0,389,1143,581,597,2710
762,0,530,1225,529,596,2880
